x,y,action_density
5.757575757575757791e+00,3.030303030303030387e-01,7.048589061186650850e-01
5.858585858585858119e+00,3.030303030303030387e-01,7.163211522440690038e-01
5.959595959595959336e+00,3.030303030303030387e-01,7.291422615121079254e-01
6.060606060606060552e+00,3.030303030303030387e-01,7.429870101604861832e-01
6.161616161616161769e+00,3.030303030303030387e-01,7.573767873413056462e-01
6.262626262626262097e+00,3.030303030303030387e-01,7.716976811860398744e-01
6.363636363636363313e+00,3.030303030303030387e-01,7.852234048831160385e-01
6.464646464646464530e+00,3.030303030303030387e-01,7.971524559018133838e-01
6.565656565656565746e+00,3.030303030303030387e-01,8.066571906462922659e-01
6.666666666666666963e+00,3.030303030303030387e-01,8.129408856361788338e-01
6.767676767676767291e+00,3.030303030303030387e-01,8.152975866901494006e-01
6.868686868686868507e+00,3.030303030303030387e-01,8.131688359080582185e-01
6.969696969696969724e+00,3.030303030303030387e-01,8.061913613565175885e-01
7.070707070707070940e+00,3.030303030303030387e-01,7.929032496342259817e-01
7.171717171717171269e+00,3.030303030303030387e-01,7.696419873905555598e-01
7.272727272727272485e+00,3.030303030303030387e-01,7.368157226296320195e-01
7.373737373737373701e+00,3.030303030303030387e-01,6.955210126512610946e-01
7.474747474747474918e+00,3.030303030303030387e-01,6.472177625284197822e-01
7.575757575757575246e+00,3.030303030303030387e-01,5.936231876941119312e-01
7.676767676767676463e+00,3.030303030303030387e-01,5.365916084653106211e-01
7.777777777777777679e+00,3.030303030303030387e-01,4.779919628781854612e-01
7.878787878787878896e+00,3.030303030303030387e-01,4.195943257523528924e-01
7.979797979797979224e+00,3.030303030303030387e-01,3.629748155303711421e-01
8.080808080808081328e+00,3.030303030303030387e-01,3.094454239021398601e-01
8.181818181818181657e+00,3.030303030303030387e-01,2.600119890451691451e-01
8.282828282828281985e+00,3.030303030303030387e-01,2.153602420106079385e-01
8.383838383838384090e+00,3.030303030303030387e-01,1.758670152159516054e-01
8.484848484848484418e+00,3.030303030303030387e-01,1.416316173133324030e-01
8.585858585858586522e+00,3.030303030303030387e-01,1.125212015002922256e-01
8.686868686868686851e+00,3.030303030303030387e-01,8.822368270820175884e-02
